Quarter,x86_Desktop_AMD,x86_Desktop_Intel,x86_Mobile_AMD,x86_Mobile_Intel,x86_Server_AMD,x86_Server_Intel
Q1/2025,28,72,22.5,77.5,27.2,72.8
Q4/2024,27.1,72.9,23.7,76.3,25.1,74.9
Q3/2024,28.7,71.3,22.3,77.7,24.2,75.8
Q2/2024,23,77,20.3,79.7,24.1,75.9
Q1/2024,23.9,76.1,19.3,80.7,23.6,76.4
Q4/2023,19.8,80.2,20.3,79.7,23.1,76.9
Q3/2023,19.2,80.8,19.5,80.5,23.3,76.7
Q2/2023,19.4,80.6,16.5,83.5,18.6,81.4
Q1/2023,19.2,80.8,16.2,83.8,18,82
Q4/2022,18.6,81.4,16.4,83.6,17.6,82.4
Q3/2022,13.9,86.1,15.7,84.3,17.5,82.5
Q2/2022,20.5,79.4,24.8,75.2,13.9,86.1
Q1/2022,18.3,81.7,22.5,77.5,11.6,88.4
Q4/2021,16.2,83.8,21.6,78.4,10.7,89.3
Q3/2021,17,82.9,22,78,10.2,89.8
Q2/2021,17.1,82.9,20,80,9.5,90.5
Q1/2021,19.3,80.6,18,82,8.9,91.1
Q4/2020,19.3,80.7,19,81,7.1,92.9
Q3/2020,20.1,79.9,20.2,79.8,6.6,93.4
Q2/2020,19.2,80.7,19.9,80.1,5.8,94.2
Q1/2020,18.6,81.4,17.1,82.9,5.1,94.9
